X,Y
138,435
584,398
584,103
842,120
138,417
584,417
988,435
662,417
662,103
696,417
988,398
696,103
696,454
138,398
138,380
842,83
584,435
696,435
584,380
842,234
662,454
138,454
842,600
358,454
696,398
212,120
842,271
212,83
254,157
138,140
358,380
510,234
1139,454
212,271
988,140
988,417
358,435
696,380
584,454
254,271
510,120
254,600
988,103
1139,435
1139,103
510,600
435,271
662,398
435,120
584,140
696,140
842,157
358,398
1028,120
842,286
212,600
662,380
358,140
988,454
1028,157
1062,600
358,417
1062,271
510,83
435,600
1062,157
254,83
212,157
1139,140
1062,120
1028,600
510,157
1139,417
254,234
1139,398
254,120
212,234
358,103
1062,286
1098,286
1139,380
662,140
1028,271
138,103
1173,286
470,398
988,380
470,454
1028,83
1062,83
510,271
545,454
470,417
435,83
662,435
254,197
988,251
1098,234
358,251
1028,234
212,286
1139,251
1062,234
435,234
1173,234
254,286
435,157
842,197
1028,286
584,251
1173,157
138,251
212,197
696,251
358,214
470,380
842,360
470,214
510,286
1098,157
470,140
584,214
470,103
470,435
1028,197
1173,83
1098,83
178,398
399,234
1098,600
435,286
1062,197
435,197
510,197
178,380
662,251
178,454
470,306
399,197
399,271
470,251
290,286
399,86
1139,214
1139,306
399,286
545,417
399,157
545,398
399,120
141,306
988,306
290,600
545,380
696,214
1173,271
1098,271
138,214
952,251
290,157
178,417
952,380
1173,197
324,471
178,435
178,214
1173,120
1098,120
510,360
545,435
290,234
545,251
399,600
1098,197
254,360
952,306
545,140
435,360
1173,68
1098,68
178,140
662,214
952,454
988,214
290,197
952,398
1028,360
1098,360
1173,360
1173,600
545,103
952,103
178,251
1028,68
952,417
545,306
952,140
212,68
545,214
1062,360
584,306
399,360
290,271
358,306
254,68
952,435
659,306
693,306
290,120
1062,68
510,68
290,83
399,68
290,360
952,214
66,380
290,68
952,343
212,360
693,343
581,343
1062,526
435,68
470,343
254,511
178,306
66,435
842,68
358,343
545,343
178,103
1139,343
842,511
66,214
290,511
66,398
842,489
66,454
732,398
66,417
732,454
732,380
66,306
510,489
510,526
66,251
732,306
1173,489
66,140
1098,489
1098,511
510,511
399,489
66,103
988,343
765,380
178,343
732,435
659,343
765,251
254,526
399,511
435,526
141,343
765,435
842,526
435,489
765,306
732,251
1173,511
1028,526
1062,489
212,511
765,103
801,380
765,140
1028,489
765,214
1062,511
102,380
102,417
212,489
1173,526
435,511
290,489
1028,511
842,46
765,398
102,435
732,417
1098,544
175,583
801,103
102,454
102,214
548,583
732,140
732,214
102,398
254,489
878,159
473,583
878,602
732,343
104,232
140,565
140,583
1062,544
212,526
1098,526
1028,46
360,48
290,526
472,546
399,526
801,435
104,195
102,251
878,85
435,46
878,269
801,140
765,454
1028,563
878,122
63,583
765,417
801,454
1173,544
510,563
917,177
801,306
1173,46
1098,46
990,583
878,286
66,343
547,528
801,417
582,583
765,343
878,232
175,48
104,269
212,544
801,398
1173,563
290,46
254,46
360,565
801,251
1062,46
547,66
472,565
990,565
360,546
732,103
178,565
1137,583
510,544
619,323
1028,544
102,140
878,197
360,583
104,362
104,66
1137,546
801,214
547,48
1137,565
842,544
104,159
582,48
1098,563
435,563
950,528
803,362
399,544
803,288
212,563
212,46
1028,581
435,544
803,232
