X,Y
328,1098
1058,1172
328,655
1058,1098
771,729
328,1172
1058,655
913,1098
615,1172
615,655
328,729
771,1098
913,1172
771,655
172,655
771,1172
1058,729
172,729
172,1172
172,1098
324,807
615,729
1210,1094
615,803
1210,807
1210,1168
615,1098
1062,807
1210,651
172,803
771,803
324,1020
33,655
324,881
1062,1020
1210,1020
33,803
33,1172
1062,881
1210,881
1210,733
33,729
1062,946
476,655
324,946
1210,946
476,803
615,950
476,1172
476,729
32,1098
172,950
913,950
771,950
475,1098
913,803
619,1020
33,950
767,585
619,585
619,881
468,950
767,1021
767,873
324,585
1058,581
1206,581
913,729
172,581
32,581
921,655
921,581
913,877
475,581
176,873
472,1028
176,1021
472,873
917,1021
32,877
32,1024
