X,Y
643,227
4843,227
625,1631
2491,1631
4825,1631
2509,227
2023,1631
2945,1663
3889,1631
3445,695
2977,1631
3875,3055
2491,1157
193,259
4393,259
3445,1631
1582,232
2977,227
3412,1663
1541,721
2477,2131
1093,1625
1567,3023
143,265
1091,1157
4343,265
157,1157
4357,1157
1079,1657
1123,259
1123,2593
2983,2098
1545,1663
611,2131
4811,2131
3413,3037
3457,2593
611,1171
4811,1171
193,3043
1117,695
4393,3043
3407,1195
175,2555
4375,2555
1123,727
2990,3061
3451,2561
143,1636
4343,1636
2951,2093
3407,2595
3445,3029
2945,2131
2983,3031
2951,3029
637,277
4837,277
1117,2561
2977,1163
2053,3067
2515,271
2477,265
2515,695
2945,265
3919,1163
2009,3037
2527,3043
1111,3023
2521,727
611,1663
2945,1171
3919,3067
4811,1663
1123,3061
2491,2093
2477,3037
2527,2107
623,689
4823,689
2995,259
1093,221
655,2593
4855,2593
3881,1201
619,3029
2050,1163
4819,3029
2481,1669
1085,2093
2983,695
2009,1669
649,2137
2515,2137
4849,2137
2521,2593
3445,227
3875,259
2015,1201
3925,259
3915,695
3451,1163
1591,2575
143,3037
4343,3037
3889,3023
157,689
4357,689
1073,2131
2009,259
1582,1631
149,739
187,1631
1591,1663
4349,739
4387,1631
2009,1169
181,2143
2995,2126
4381,2143
2959,3079
2995,2575
3407,2131
661,1663
4861,1663
1585,3067
187,2107
4387,2107
2977,1207
1549,1201
2510,1207
3445,2093
655,3067
4855,3067
181,1207
4381,1207
2053,271
2977,2611
3875,1669
187,1173
4387,1173
2053,1201
3457,3067
1585,271
3919,3031
616,2605
4816,2605
2059,2131
2509,2555
2977,745
2527,1663
2023,2089
3409,2099
2941,1633
3925,1195
2477,233
2023,689
1591,1195
3925,1663
149,3073
4349,3073
2059,2599
3925,2131
1549,277
2015,2605
181,1675
4381,1675
2521,1631
3925,2599
1087,2617
655,1631
4855,1631
3925,733
149,1675
3875,2099
4349,1675
1549,2141
2057,1631
649,745
4849,745
605,238
4805,238
2453,2113
1147,1651
