X,Y
446,775
812,946
100,1143
998,843
355,762
476,888
1106,959
921,1089
772,1124
702,1057
876,1013
578,955
392,955
247,734
873,715
433,592
1134,1129
138,960
517,907
396,1036
1105,661
1134,593
183,964
302,957
514,775
653,723
169,826
110,1087
764,905
742,835
960,648
59,788
918,1065
772,1006
358,1006
809,969
990,965
215,780
29,725
990,706
805,614
137,1147
998,1011
688,790
218,1071
739,1058
472,1176
146,1074
1180,1080
1066,1006
442,958
654,784
649,648
629,1157
58,1139
396,1124
699,1034
650,1009
648,677
738,769
589,1011
170,849
506,1036
251,942
514,667
57,1084
1203,1012
517,751
1207,736
1172,736
581,721
664,954
1056,946
1096,941
1143,649
1072,1065
136,854
1202,902
629,1002
248,1176
702,1131
774,936
1055,725
301,707
60,578
913,991
951,983
951,946
913,946
733,936
913,899
950,873
913,854
950,836
950,807
913,807
922,778
950,770
912,751
950,733
912,725
331,719
950,707
912,696
950,677
912,659
912,633
949,622
63,618
1070,609
912,604
949,596
1212,580
802,1143
661,1069
33,957
506,939
771,885
1172,701
729,646
26,645
222,1015
648,849
1202,773
1131,667
97,585
1070,1147
628,946
874,1035
996,1148
108,848
1179,1145
1214,1092
888,954
649,880
479,781
809,717
765,702
987,645
652,1088
1132,831
173,717
876,1130
1167,965
109,963
25,908
352,907
1134,903
515,852
995,796
1204,659
998,611
169,609
992,576
652,908
518,960
223,906
476,1125
738,1145
62,992
320,650
1096,1178
445,1010
591,833
1169,790
503,607
34,1146
152,890
773,612
330,592
924,1016
518,1014
173,1061
733,965
173,637
872,762
394,698
147,832
147,736
1171,667
872,641
875,607
181,1111
996,1076
873,906
108,901
589,890
774,843
577,799
148,596
1128,873
576,670
1056,585
1172,887
407,891
60,659
590,700
1183,936
226,596
589,1128
259,1031
699,649
764,1143
446,1046
406,770
661,1036
249,1122
699,891
466,610
331,1018
1127,780
1109,594
887,829
24,884
262,1086
772,724
146,1170
876,1100
581,1096
1140,1084
468,1082
995,897
253,891
1206,860
1059,856
1026,844
100,805
146,768
1026,733
1140,715
259,694
1061,669
257,659
146,653
398,604
691,602
300,1159
333,1129
112,1037
248,852
702,760
926,679
356,649
1170,1127
97,606
812,1072
1114,1102
920,1182
393,1145
1202,1144
111,1125
775,1092
688,1090
704,975
95,884
1107,779
1072,774
1184,718
1112,706
1167,647
1070,646
264,612
816,595
299,1074
1179,1178
698,858
395,1014
336,962
1132,943
95,668
776,650
468,1146
1168,770
110,622
914,583
26,578
260,718
504,884
1058,1033
552,604
1181,843
1095,825
396,1094
845,1139
360,1139
953,1028
839,948
470,825
260,1009
28,1174
1142,1168
1067,1168
1032,1168
847,1168
809,1168
691,1168
589,1168
514,1168
404,1168
358,1168
181,1168
