X,Y
475,733
180,733
476,1168
622,577
770,880
1206,1168
1066,1168
921,1168
771,1168
623,1168
328,1168
180,1168
32,1168
1206,1102
1066,1102
921,1102
771,1102
623,1102
475,1102
328,1102
173,1102
32,1102
1206,1028
1066,1028
920,1028
771,1028
623,1028
475,1028
328,1028
180,1028
32,1028
1206,954
1066,954
920,954
771,954
623,954
475,954
328,954
180,954
32,954
1206,880
1066,880
920,880
623,880
475,880
328,880
180,880
32,880
1206,807
1066,807
919,807
770,807
623,807
475,807
328,807
180,807
32,807
1206,733
1066,733
919,733
770,733
623,733
328,733
32,733
1206,659
1066,659
919,659
770,659
623,659
475,659
328,659
180,659
32,659
1206,585
1066,585
918,585
770,585
475,585
328,585
180,585
32,585
1216,1074
