X,Y
394,1485
189,1164
60,975
483,909
34,861
53,827
348,749
284,655
60,548
552,412
524,395
481,353
87,246
233,208
56,2127
548,1920
435,1796
300,1569
535,1421
415,1368
134,1019
193,944
156,859
511,740
167,700
55,671
126,539
112,164
36,2278
48,2232
354,2063
108,2034
215,2030
414,1967
261,1897
415,1840
318,1828
346,1688
273,1541
541,1517
566,1481
407,1465
210,1400
233,1368
394,1340
264,1185
356,1179
68,1158
184,979
330,978
368,977
338,947
310,926
129,900
418,880
379,818
301,810
245,810
87,591
279,547
255,538
399,363
83,316
324,298
365,208
483,178
173,161
579,160
68,108
529,72
482,44
252,34
437,2116
520,1240
77,1284
15,2239
248,1780
128,1771
425,2176
31,1749
130,2312
385,2280
60,1712
27,1446
533,1103
376,1001
224,905
469,782
423,408
36,201
481,2101
276,2052
530,2036
176,1963
345,1937
371,1886
220,1764
342,1624
406,1107
486,944
249,884
213,584
414,532
442,78
225,1503
30,280
576,48
198,293
523,1546
396,2165
195,1558
78,2049
83,1737
476,2021
103,1593
184,1583
537,269
278,1921
410,1800
516,1628
486,1333
529,792
312,758
432,663
505,579
337,317
548,142
420,1292
195,1280
387,1919
214,2144
267,1601
562,1421
354,1349
15,694
27,1635
28,562
91,792
573,1456
216,2293
505,2016
481,1856
41,882
428,718
121,2263
101,2234
329,1878
174,1038
141,876
228,821
561,794
35,782
415,621
393,95
282,93
185,2101
192,2039
38,2005
496,1948
496,1773
260,1740
21,1731
399,1724
240,1665
338,1662
366,1516
335,1476
334,1445
500,1200
158,1164
413,992
195,915
70,902
445,571
47,315
100,56
311,2262
317,1902
163,1622
523,835
302,159
470,97
156,68
256,2132
191,1143
290,761
320,1430
461,1209
515,2077
28,1685
519,1473
481,1182
74,2141
124,1880
116,1441
397,1438
371,427
512,1355
367,2174
294,2006
309,228
179,1786
537,2298
491,1000
280,1632
106,1727
215,1270
437,451
357,442
277,399
572,363
115,186
382,78
459,1671
565,1186
239,666
96,568
111,333
120,2175
511,1588
49,1584
157,1407
316,1338
328,1251
292,1127
397,1061
29,907
465,842
369,592
383,536
142,500
312,278
154,2288
252,2277
311,2217
437,2050
431,2020
255,1800
29,1792
174,1740
274,1724
62,1688
184,1667
538,1574
245,1539
516,916
204,621
326,100
567,1888
351,1864
230,1573
532,1687
325,1371
471,1353
89,2324
560,1667
349,1588
337,1897
490,1753
448,1646
158,1496
36,1073
318,671
273,326
492,99
566,1770
306,1532
369,1426
106,1322
274,1304
87,1431
484,1984
413,832
203,376
319,198
215,2184
20,2128
188,2078
411,1554
578,690
346,2262
28,1032
50,2178
18,1852
355,1649
448,1332
261,1059
251,761
253,719
497,655
361,573
460,552
494,384
154,1701
206,819
492,1722
29,1549
277,1782
421,1879
424,1606
382,2188
172,1379
244,2068
288,1944
72,1847
233,1312
526,890
339,1978
162,1556
39,1487
543,1954
19,1925
23,1598
55,1422
237,1225
188,2013
184,1821
183,1761
314,1460
230,1074
469,136
193,1206
288,1414
575,1268
425,125
461,1463
459,1583
478,716
410,2190
35,2069
168,2054
507,1870
311,1864
151,1815
79,1648
12,867
335,2312
398,2218
75,2108
242,1989
250,1964
116,1957
147,1939
263,1867
100,1832
375,1825
364,1767
141,1741
415,1656
498,1649
134,1647
53,1624
307,1604
183,1499
436,1495
362,1251
385,1199
17,1176
34,1136
139,1112
581,1087
357,1078
498,1059
81,1035
422,970
110,881
316,859
534,692
400,683
222,533
484,524
407,488
184,447
123,434
335,355
426,251
69,212
526,208
254,2330
7,2319
107,2291
365,2278
212,2273
53,2264
502,2221
349,2204
544,2199
97,2187
175,2185
453,2171
312,2129
558,2076
304,2075
419,2064
212,1933
88,1930
531,1905
228,1873
543,1831
235,1831
297,1696
531,1650
392,1641
96,1560
205,1517
80,1509
535,1460
231,1454
173,1441
213,1436
405,1411
101,1398
564,1387
366,1299
485,1297
321,1287
300,1277
134,1238
484,1232
273,1228
103,1225
529,1172
400,1161
157,1095
537,1077
475,1077
160,1062
215,1058
340,1029
546,1015
522,1010
531,974
62,944
405,936
455,882
342,876
157,802
454,768
176,738
58,714
503,707
229,698
269,693
153,685
298,640
113,607
448,532
248,457
164,449
489,405
445,393
167,383
434,356
488,217
420,158
263,148
366,126
490,73
10,48
382,2149
244,1599
566,1300
16,754
309,2156
391,1849
144,1540
153,2177
266,2001
211,1353
375,754
445,1699
154,2018
332,1319
18,1297
393,897
32,622
473,2238
253,106
