X,Y
120,183
324,1603
71,1084
71,544
240,503
80,1857
472,1840
30,1770
130,1742
202,1665
184,1169
198,915
432,873
257,647
92,497
121,331
301,299
410,115
151,29
8,2
74,1338
212,1726
246,1675
87,1319
104,675
151,639
139,92
80,1770
345,1717
410,1114
236,1811
195,1708
366,956
347,1253
446,1772
218,1369
232,1056
172,1760
366,698
114,1204
405,1377
235,1343
131,1156
339,1771
121,785
100,1083
285,749
61,511
361,1781
62,1656
40,1578
423,1434
93,1371
231,1280
427,1210
251,1010
243,937
345,901
50,638
85,614
191,1584
83,1506
93,896
18,891
330,590
104,1694
170,833
32,1249
86,1464
111,1255
427,916
432,1530
413,1454
121,1710
256,1053
105,1227
340,1053
89,1605
265,1312
251,1190
113,211
392,284
441,1801
152,1627
273,1551
447,1451
216,848
94,385
444,192
295,153
468,1810
359,1666
107,1618
413,1570
308,1506
342,1499
145,1420
441,1410
448,1380
420,1260
372,1144
176,1053
236,969
56,1596
195,891
120,806
18,93
77,1199
66,729
420,1743
320,1527
310,1663
104,1392
80,122
269,1673
436,1495
308,1259
396,1686
464,1666
136,1555
393,678
167,568
217,200
168,1844
331,1564
79,1540
395,1207
443,1129
409,988
182,1431
472,1328
122,1782
56,1525
39,1507
231,1407
149,1381
70,1363
312,1203
336,1201
424,1189
286,1416
197,602
258,873
309,1699
89,1736
458,1858
106,1665
370,1513
362,1457
480,1751
256,1808
268,1592
106,1487
259,1370
116,1338
387,1067
101,1021
144,1007
111,848
72,632
267,461
19,189
239,183
315,179
235,35
221,1872
247,1854
238,1782
36,1666
144,1661
84,1637
102,1560
360,1532
308,1485
428,1471
109,1465
317,1455
200,1394
472,1367
393,1341
305,1308
423,1145
327,1132
433,1050
370,992
141,886
133,741
220,727
183,721
23,611
41,600
119,499
27,476
63,423
26,407
124,269
192,218
485,64
300,54
17,116
343,290
36,1436
151,435
173,1399
273,597
23,1017
464,380
288,176
274,1612
291,1108
238,1504
70,1482
63,1463
467,1112
147,846
186,1011
424,1609
378,1410
374,1279
23,1170
151,1092
386,1743
252,1445
390,1261
153,1182
112,741
370,1577
440,1095
402,653
329,563
226,1677
72,1821
301,984
13,143
476,1280
264,1123
113,1129
257,1652
391,1608
236,1748
370,446
140,1532
372,1342
190,1080
287,658
349,417
21,374
266,200
13,47
198,978
45,1736
254,1631
150,1737
368,1107
28,767
203,1832
194,1630
394,1653
93,1152
122,961
43,1835
144,1716
465,1712
440,1703
122,1678
72,1616
65,1571
145,1505
26,1483
29,1463
300,1444
337,1394
364,1380
295,1375
331,1295
285,1292
41,1268
298,1236
191,1145
222,1102
31,1086
136,1050
456,1048
196,1039
443,1032
468,1025
400,1024
52,988
256,978
289,953
216,950
161,896
238,888
297,825
176,770
203,746
243,721
301,714
117,692
347,659
422,572
382,551
176,534
104,531
298,507
402,457
117,426
176,380
92,331
191,304
173,230
275,229
463,205
346,200
191,128
101,92
73,67
441,10
396,1812
154,1779
182,1459
412,1327
218,1304
144,1296
284,1033
24,972
426,963
334,925
52,798
76,782
263,1712
450,1179
396,604
44,1870
464,1600
380,1838
183,1814
298,1747
32,1690
170,1681
121,1648
33,1642
86,981
465,1503
323,1802
238,1536
405,1404
257,1286
34,1225
190,164
313,1171
128,1106
425,939
295,1774
21,551
225,1611
45,1365
321,1330
447,1309
276,1094
274,848
238,806
343,625
311,1017
175,1538
147,1068
100,1047
315,791
407,558
45,441
96,430
158,115
62,477
306,1864
95,1716
295,1397
174,1233
416,1232
36,1195
333,1153
134,1136
172,996
328,963
229,622
12,230
129,1310
359,813
380,733
304,1584
339,765
43,61
265,1409
77,857
110,312
47,890
135,1268
196,1415
237,1382
373,1198
301,1725
59,678
337,1643
36,1620
458,1160
295,1636
376,1863
202,1495
166,1030
369,868
184,1338
138,1860
288,1068
428,1654
116,1505
107,984
419,832
366,1431
143,1482
286,1863
98,1827
78,1797
391,1780
220,1635
167,1600
475,1534
389,1534
403,1519
365,1487
344,1441
211,1441
330,1368
154,1354
426,1292
212,1224
391,1174
283,1159
170,1125
218,1017
368,911
33,805
158,745
383,623
198,478
458,400
18,350
63,318
65,293
35,282
14,277
197,260
39,127
269,1852
109,1595
249,1579
170,1576
276,1436
84,1260
258,1154
359,1084
371,1045
215,796
335,681
386,373
197,348
405,196
227,65
345,1417
309,944
465,1642
62,763
69,1874
350,1801
377,1696
86,1404
81,1006
339,996
110,922
19,505
443,465
237,147
345,1219
103,1856
23,930
455,754
257,1526
417,1706
172,1869
137,1838
32,1817
58,1764
196,1762
36,1413
161,1202
215,1161
132,989
456,984
97,956
203,872
182,691
311,658
303,555
459,258
146,557
342,1329
289,1329
232,1137
363,1727
230,1703
420,1631
468,1568
64,1114
365,324
310,1826
95,754
357,1021
290,1707
116,620
396,1855
475,1772
25,443
75,18
285,1206
368,763
271,1480
433,1552
82,1429
304,603
416,539
104,69
248,1605
234,839
97,780
409,711
396,1301
358,1293
360,1622
230,1462
190,1270
37,25
341,476
387,1240
471,1212
74,1037
63,1723
46,832
144,592
449,725
443,534
440,1681
152,1458
460,428
447,1273
441,1836
270,1745
54,1677
55,1628
188,1563
213,1525
340,1520
287,1498
470,1453
461,1423
198,1353
244,1263
199,1252
61,1228
318,1224
130,1190
356,1129
198,1109
214,1071
128,1029
63,913
228,909
390,882
342,870
383,851
28,716
99,577
235,409
278,406
86,144
295,1811
198,1793
348,1689
316,875
360,535
440,1352
122,1358
390,1578
391,1433
434,995
120,1577
155,696
396,1718
119,1447
47,1392
362,1316
199,1207
333,1034
41,960
312,1070
86,917
86,828
119,1061
462,858
256,372
304,351
343,224
354,139
77,950
61,1846
449,1752
318,838
192,1607
355,1157
173,863
96,804
326,312
456,231
453,110
151,61
352,939
140,1228
175,1308
34,1310
130,1616
211,1595
86,1575
153,1249
427,1074
28,1351
