X,Y
138,987
138,1006
138,932
842,1152
138,950
988,969
584,950
138,969
988,987
584,969
662,1006
842,709
662,969
696,1006
988,1006
696,969
584,1006
662,987
842,635
696,987
584,987
212,672
584,655
254,635
842,672
988,932
584,932
662,950
988,655
138,655
662,655
842,823
696,950
662,932
988,950
988,692
212,635
696,932
212,709
510,1152
254,709
212,1152
662,692
254,672
510,672
212,823
138,692
696,655
584,692
358,655
1028,672
510,823
1139,987
510,709
358,987
1139,655
358,969
1062,672
1139,1006
358,1006
1028,709
1028,635
1062,709
1139,969
696,692
1139,950
358,932
510,635
254,823
254,1152
358,950
842,786
435,823
435,1152
358,692
212,786
254,786
1139,932
1028,1152
1062,823
510,786
1139,692
435,672
1028,823
435,635
435,709
1062,635
1062,1152
138,803
842,838
842,749
435,786
1139,803
254,749
358,803
1028,786
212,749
1062,786
584,803
988,803
1062,838
1028,838
510,749
399,672
470,655
435,749
1098,786
470,692
470,1006
470,987
399,786
662,803
435,838
1098,1152
470,932
510,838
254,838
138,766
696,803
1139,766
470,969
399,635
1028,749
1062,749
358,766
399,709
470,950
1173,838
1173,672
1098,672
1098,838
1098,823
1173,786
399,823
399,838
399,749
212,838
470,766
399,1152
1098,709
1173,749
1098,749
988,766
1173,823
584,766
662,766
693,766
470,803
1173,1152
1173,635
1098,635
290,749
290,1152
545,655
290,838
1173,709
545,987
178,950
178,932
178,969
952,987
842,912
470,858
178,1006
988,858
952,950
545,950
952,932
545,932
545,969
1028,912
952,692
324,1023
952,1006
545,1006
290,823
952,655
952,969
545,692
290,786
358,858
696,858
1062,912
1139,858
254,912
435,912
952,803
212,912
545,803
584,858
290,635
1098,912
290,709
290,672
178,692
138,858
952,766
178,987
178,803
662,858
212,620
545,858
1173,912
399,912
510,620
178,766
545,766
510,912
290,912
952,858
842,620
178,655
1028,620
399,620
435,620
254,620
1173,620
1098,620
1062,620
290,620
178,858
988,895
952,895
470,895
358,895
66,950
66,932
545,895
1139,895
66,1006
581,895
66,692
66,803
66,969
178,895
696,895
66,766
659,895
66,655
254,1063
66,858
66,987
138,895
1028,1041
1062,1041
1173,1041
1098,1041
510,1041
842,1063
510,1063
1028,1063
765,655
842,1041
290,1063
212,1041
254,1041
212,1063
1098,1063
1173,1063
435,1063
435,1041
765,766
399,1041
1062,1063
399,1063
765,858
765,969
765,803
732,803
765,692
290,1041
765,987
765,1006
732,766
732,987
732,1006
732,950
732,692
732,932
732,969
765,932
842,1078
765,950
732,858
66,895
732,655
1173,1078
1028,1078
1098,1078
435,1078
1062,1078
917,729
1137,1135
510,1078
878,784
801,692
801,655
1028,1096
360,1135
878,711
801,950
104,747
878,1154
990,1135
212,1078
801,969
360,600
399,1078
254,1078
801,932
801,803
1062,1096
1173,1096
801,766
104,784
510,1096
1098,1096
360,1117
290,1078
801,987
801,1006
140,1135
801,858
878,821
842,1096
212,1096
1137,600
1173,1115
104,1154
104,840
102,655
290,1096
472,600
619,877
472,1117
878,840
765,895
1028,1115
435,1096
1098,1115
102,858
104,821
547,1098
176,1098
878,747
175,1135
472,1098
399,1096
732,895
878,674
950,1117
1062,1115
582,600
582,1135
102,692
950,1098
1137,1117
360,1098
254,1096
547,1117
176,1117
950,600
801,895
102,932
176,600
803,618
510,1115
842,598
842,1115
472,1135
878,914
990,600
104,618
803,914
1028,598
104,711
399,1115
1173,598
1098,598
176,618
176,914
950,1135
547,600
548,1135
876,692
254,598
1028,1133
803,747
435,1115
1062,598
990,1117
212,1115
102,1006
102,950
472,1080
140,600
102,987
104,914
102,803
102,969
660,1135
140,1117
64,914
878,637
254,1115
730,618
64,1061
290,1115
878,620
176,1080
104,674
290,598
950,618
950,1080
1098,1133
1062,1133
66,1135
1173,1133
767,914
660,600
102,766
803,840
1137,1098
435,598
510,598
803,784
547,1080
547,914
950,1061
950,914
176,840
64,1043
842,1133
803,821
64,1098
64,1080
878,1063
876,950
876,858
547,618
694,600
876,987
876,969
104,637
64,618
582,1117
435,1133
694,1135
66,600
399,1133
547,1043
176,1061
878,1041
730,914
63,1117
876,766
876,1006
212,598
876,803
547,1061
360,1080
950,1043
290,1133
730,1061
730,1043
876,655
876,932
767,1043
510,1133
990,1098
254,1133
767,1061
140,1098
102,895
472,1061
767,618
730,840
878,1098
767,1098
212,1133
472,1043
399,598
878,1135
472,914
176,1043
104,1135
729,1135
730,747
803,1080
1098,766
878,1117
803,1117
767,1080
730,1098
660,1117
767,747
1173,766
767,821
803,1135
324,729
730,821
104,1117
878,600
104,1041
803,1154
472,618
104,1061
730,1080
765,600
399,858
1173,895
64,840
876,895
803,1098
290,766
64,747
104,1080
582,1098
547,840
730,1117
140,1080
767,840
1098,858
1173,858
290,895
290,858
1098,803
803,1043
950,840
1062,766
950,747
547,747
360,1061
1137,1080
878,1078
803,600
104,600
803,1061
435,858
768,1135
803,711
104,1098
730,600
290,692
1173,803
435,766
767,784
842,895
510,858
1028,858
767,1117
1137,1043
730,674
1173,1006
842,858
399,803
694,1117
730,784
64,784
290,655
176,747
254,803
399,766
212,858
290,1006
1098,895
803,674
472,840
694,1098
212,895
360,618
435,803
510,803
950,784
582,1080
290,803
399,895
290,932
1062,858
472,747
254,858
1098,969
360,1043
1137,618
1137,1061
842,766
1173,987
1028,766
290,987
1173,950
435,692
290,969
547,784
176,784
803,637
1173,969
64,821
1028,895
990,1080
1028,803
254,766
730,711
1062,803
435,895
1137,914
1062,895
1098,692
212,766
399,987
472,784
950,821
399,969
399,692
399,1006
510,895
290,950
510,766
1098,1006
510,692
1062,692
842,803
212,692
660,1098
1098,987
1028,692
1173,932
1098,932
176,821
1062,950
547,821
399,950
1173,692
324,1041
1098,950
64,711
435,932
990,1061
435,655
1062,932
212,803
212,932
1062,655
767,711
435,969
254,969
360,914
399,932
730,637
435,1006
399,655
66,729
254,655
254,895
254,932
767,1154
1062,1006
1062,969
842,692
660,1080
1028,932
254,950
510,950
510,655
212,969
1028,969
212,655
990,1043
212,950
176,711
950,711
510,969
212,987
694,1080
1173,655
1098,655
1028,655
1137,747
324,1063
842,655
767,674
1028,950
1028,1006
435,987
360,840
176,637
1137,840
918,950
254,987
765,729
254,692
510,932
435,950
547,711
1137,784
1062,987
64,674
582,618
1028,987
140,1043
360,747
842,1006
767,637
917,1078
990,914
582,1043
472,821
176,674
324,620
212,1006
360,784
842,969
990,618
1137,821
950,674
732,729
510,987
64,637
547,674
324,1078
842,932
730,1154
