X,Y
691,1135
142,891
620,891
585,891
142,688
589,1135
1028,1131
585,688
142,770
620,688
142,1168
177,1131
624,1135
620,807
142,807
358,1172
918,1131
620,770
514,1135
177,614
620,1168
585,807
801,729
358,655
1028,688
1028,614
1067,655
1067,1098
585,770
1067,1172
142,973
620,973
177,928
1028,891
589,655
358,692
691,729
71,1135
142,854
585,973
585,854
1067,692
514,655
585,1168
138,655
259,692
259,1172
1028,1047
514,1172
259,655
138,1135
514,692
177,688
358,1098
620,854
138,729
1028,973
177,891
358,1135
514,1098
691,1098
138,932
620,614
589,1098
1067,932
695,891
691,655
177,1094
1134,1135
1028,928
620,1094
589,932
1063,891
801,932
585,614
620,651
1138,1094
691,932
1028,651
177,770
177,651
1138,891
1067,1135
801,1135
181,729
358,932
71,1172
259,1098
624,729
71,729
177,807
695,614
1067,729
142,1094
801,1098
142,614
1028,1094
177,1168
801,655
1028,1010
514,932
404,655
404,1172
514,729
918,1168
404,932
691,1172
71,655
1028,770
1028,1168
358,729
922,932
71,932
847,655
624,932
801,1172
177,1047
177,844
1028,854
922,1098
589,729
922,729
585,1010
358,766
847,692
585,1047
695,844
695,807
695,770
847,1172
1067,766
1028,807
468,655
695,688
259,766
404,729
71,1098
620,1010
142,1010
510,891
177,973
259,932
1063,854
695,973
255,891
404,692
801,692
514,766
1138,854
71,692
468,932
177,1010
255,807
259,1135
142,1047
620,1047
358,858
922,655
404,766
259,729
847,932
358,895
1063,807
1032,729
400,891
468,692
468,1172
1063,604
259,858
695,1047
1138,688
847,766
1138,614
1138,817
1063,973
801,766
695,1010
514,858
922,692
468,766
847,858
510,817
400,1094
71,766
358,803
847,729
1138,770
404,858
1138,651
510,604
468,858
255,604
400,1131
1134,932
255,973
1138,1057
1063,1010
468,803
468,729
255,1010
876,655
876,932
1138,1168
1063,1057
847,803
922,766
876,692
847,895
400,817
1134,729
472,891
801,858
472,1094
843,1094
71,858
1138,973
876,1172
510,1010
288,655
400,614
922,895
801,895
362,973
288,692
986,655
362,614
772,655
510,973
801,803
986,692
255,1057
986,1172
288,932
71,803
922,858
362,1020
876,858
876,729
1138,1010
400,973
510,1047
288,1172
468,1135
1180,932
772,692
847,1135
986,932
876,766
876,803
71,895
1180,655
362,1057
737,692
843,1002
1180,692
472,614
1180,1172
986,803
843,965
772,932
772,1172
400,1010
288,766
805,1002
433,655
876,895
986,729
288,803
737,655
362,1002
288,729
400,1047
329,655
433,692
329,692
986,766
737,1172
472,973
772,803
472,1047
955,991
922,803
986,858
1180,766
1180,729
433,932
100,655
772,766
288,858
1180,803
772,729
100,692
329,932
100,932
737,766
67,1047
433,803
1180,858
177,946
805,965
737,729
543,932
100,803
433,1172
772,858
472,1010
329,1172
100,1172
737,932
1028,946
219,655
543,655
581,1080
219,932
986,895
329,803
737,858
100,729
691,1080
876,1135
142,955
843,1047
219,692
514,1080
100,766
1180,895
585,706
543,692
585,955
1096,932
733,1002
71,1080
329,729
914,1080
329,766
695,706
772,895
620,706
177,706
433,766
695,955
433,729
142,706
543,1172
358,1080
960,1172
737,803
543,803
1028,706
733,965
801,1080
219,803
653,932
620,955
219,1172
100,858
288,895
543,766
843,614
914,1061
329,858
914,1043
847,987
1096,655
876,987
737,895
288,1135
1059,1080
653,655
33,1098
653,692
404,950
1096,692
876,950
544,1098
1138,706
847,950
433,858
468,950
510,955
1138,955
434,1098
1067,950
362,955
801,987
733,1131
884,1098
543,729
959,1098
259,950
219,729
219,766
259,1080
177,1149
801,950
67,595
71,987
108,1098
987,1098
771,1098
433,895
328,1098
218,1098
1096,803
654,1098
960,655
1179,1098
219,858
955,1010
329,895
653,803
543,858
960,692
733,1094
288,987
1028,1149
986,987
71,950
653,1172
922,987
1180,987
289,1098
951,895
288,950
955,1047
843,1065
1180,1135
1096,766
951,932
33,1135
986,1135
809,1061
922,950
986,950
1180,950
472,1065
1096,1172
404,1153
691,1153
1096,729
100,895
1104,1098
918,1149
805,614
772,987
1067,1153
259,1153
329,1135
847,1153
34,600
653,729
695,862
1207,1098
177,862
653,766
1206,655
1206,692
1206,932
71,1153
960,803
772,950
589,1153
358,1153
955,1076
737,987
960,729
514,1153
67,1065
1096,858
955,973
138,1153
255,622
801,1153
951,858
33,1080
543,895
1134,1153
801,1043
472,585
468,1153
737,950
620,909
400,1076
843,585
843,1021
951,950
653,858
1063,622
219,895
329,950
616,1153
329,987
29,1168
33,895
33,987
177,909
960,766
585,909
142,909
433,950
772,1135
1206,803
1206,1172
33,1153
433,1135
733,1076
1096,895
400,799
433,987
100,950
884,1080
288,600
63,618
843,640
1032,581
843,781
100,1135
876,1153
695,909
880,1002
1104,987
733,622
100,987
255,585
1207,987
733,1039
510,909
986,600
771,1080
219,1135
1206,729
880,965
1206,766
33,858
472,825
843,825
551,987
1138,909
653,895
1028,909
543,950
955,1028
33,1043
33,1061
620,992
843,873
181,581
986,1153
585,992
33,950
33,766
1063,1039
472,751
142,992
620,669
1206,858
884,1061
771,1061
177,669
255,1039
805,818
472,873
288,1153
805,585
1134,581
737,1153
543,1135
733,585
1207,950
1097,950
510,992
843,744
400,585
1028,669
255,873
1063,909
1063,585
219,950
1180,1153
101,1080
138,581
255,909
1172,600
296,1080
29,585
661,987
1138,992
1138,669
733,825
922,618
218,987
994,1080
472,788
33,729
1028,992
1172,1080
177,992
142,1029
843,1113
1104,1135
142,1076
101,1061
661,950
358,581
255,825
1206,895
772,1153
695,992
1172,1061
1028,1076
620,1076
959,1135
329,600
733,873
33,692
1207,1135
400,873
1138,1029
296,1061
510,1029
585,1065
987,1061
620,1112
329,1153
733,1113
1138,1112
585,1029
321,1080
441,1153
620,1029
654,1135
177,1076
472,1028
733,751
843,707
733,604
1063,825
100,600
1138,632
472,1113
1063,992
434,1080
142,1112
211,1080
620,632
400,909
884,1043
255,992
177,1029
880,622
917,873
805,1021
729,1061
1028,632
33,803
472,670
510,622
1097,1080
880,585
400,751
805,873
472,910
805,640
1138,1076
843,670
1063,873
472,991
142,632
255,788
29,1113
1063,751
321,1061
441,1061
551,1061
296,1043
1104,1153
100,1153
733,788
33,655
585,595
1028,1029
255,751
211,600
585,632
67,1113
362,632
177,1112
1028,1112
551,1080
952,1153
1207,1080
400,1113
771,1043
994,1043
661,1080
620,595
177,632
1097,600
1097,1061
33,618
1207,1153
695,1029
1207,1061
101,1043
843,910
661,1061
362,1039
1138,752
63,914
400,836
695,632
733,910
142,789
211,1153
1138,835
805,751
551,1153
1138,789
994,618
695,1065
400,1028
733,670
918,1113
661,1153
585,825
1063,788
1207,600
733,1021
990,1002
400,670
1138,872
510,585
994,581
620,789
880,873
510,1065
620,825
805,781
914,914
805,1113
211,1061
400,632
321,1043
33,932
880,604
510,789
142,752
695,595
472,633
805,836
142,825
1028,825
33,914
620,751
1172,581
177,825
101,581
585,873
585,751
1172,1043
733,707
585,789
880,751
400,991
880,825
142,873
510,835
990,965
441,1043
620,873
733,640
177,789
805,670
211,1043
695,789
362,826
362,751
1028,873
880,1021
551,1043
1028,751
955,1113
1172,618
1028,789
805,707
880,640
880,788
917,965
292,1002
296,581
1097,1043
661,1043
321,581
805,910
177,596
959,600
695,825
358,914
695,751
296,618
63,877
177,751
1207,581
771,618
994,914
880,1113
211,581
321,618
880,707
1097,581
33,877
880,670
1207,1043
296,914
884,914
551,618
292,965
441,914
441,618
101,618
1059,1116
1176,1002
1172,1116
1207,618
699,1116
1176,965
358,877
551,914
506,1116
211,914
994,1116
63,840
661,618
1097,618
321,914
251,1116
366,1116
211,618
1172,914
296,877
959,581
990,751
63,747
990,873
581,1116
101,914
1211,1002
67,1002
990,788
211,877
990,825
296,1116
441,1116
251,840
661,1116
551,1116
990,670
67,818
321,1116
990,633
954,751
67,965
321,877
211,1116
1207,1116
990,1021
661,914
551,877
67,781
33,840
1172,877
771,914
917,843
514,747
101,877
441,877
1211,965
67,1021
839,840
951,914
1211,825
33,747
764,1116
990,707
1211,1028
959,618
1104,1116
292,788
292,670
1211,873
1172,747
1211,751
771,877
661,877
1097,877
292,825
1104,914
917,1002
1211,788
292,751
1100,751
1207,914
764,747
951,877
1176,1028
468,840
67,640
292,707
922,747
108,1116
1100,1002
292,1028
1100,965
292,633
67,707
884,840
441,747
325,1002
1176,825
211,747
33,784
325,965
661,747
551,747
771,600
434,600
1100,825
67,677
1100,788
321,747
1176,781
1176,670
994,840
33,821
441,840
951,840
544,600
654,600
551,840
1211,670
358,784
211,840
296,840
321,840
922,821
1100,1028
764,840
437,1002
1172,840
101,747
764,784
1100,670
661,840
1176,633
551,784
922,784
1176,707
441,784
101,840
1100,633
437,965
916,633
437,585
321,784
1211,633
404,784
661,784
211,784
729,840
1211,707
1104,840
33,711
437,825
325,1028
325,825
1100,707
1207,840
101,784
437,670
764,821
551,821
951,784
437,1028
325,670
101,821
215,1002
951,821
547,1002
661,821
211,821
325,633
251,711
1059,711
437,633
215,965
476,711
325,707
33,674
437,707
547,965
547,585
506,711
366,711
954,714
251,674
396,711
211,711
211,674
215,1028
547,670
33,637
1059,674
551,711
916,670
366,674
922,600
506,674
661,711
922,711
661,674
29,1002
547,1028
764,674
251,637
29,1021
108,711
547,633
108,674
657,585
215,633
764,711
506,637
1059,637
29,965
657,1002
105,1002
657,965
914,1024
105,965
771,581
661,637
105,1028
764,637
657,1028
108,637
764,1024
768,965
768,1002
959,674
922,581
953,633
67,578
585,578
620,578
695,578
