X,Y
470,655
470,950
470,803
178,950
324,1023
178,803
178,655
765,655
765,803
765,950
917,729
1062,1096
619,877
176,1098
472,1098
767,1098
324,729
1062,803
1062,950
1062,655
918,950
765,729
178,729
917,1096
470,729
324,875
1062,878
324,950
619,1098
324,1096
324,803
324,655
916,875
1062,729
621,950
621,803
1062,1024
619,655
915,655
621,729
917,803
767,877
917,1025
176,877
472,877
619,1024
1209,877
767,1024
176,1025
767,582
1209,729
1209,950
472,1025
1209,803
1209,655
619,582
1209,1098
176,582
1062,582
324,582
324,1171
1062,1171
619,1171
767,1171
472,582
30,803
30,655
30,950
30,729
176,1171
917,1171
29,1098
472,1171
915,582
29,877
1210,581
1209,1024
28,581
29,1024
28,1172
1210,1172
