X,Y
324,542
1210,542
324,255
324,107
1062,542
324,616
917,542
1210,255
767,542
324,468
324,181
1062,255
619,542
1062,468
1062,616
767,173
1210,181
619,616
767,616
324,394
1062,181
1062,394
1210,616
1210,468
619,99
1210,99
172,103
767,99
1062,107
619,181
1210,394
172,620
619,255
1062,329
324,329
1058,29
619,468
1210,329
767,33
619,394
324,33
615,29
913,620
172,546
767,469
767,247
33,620
172,177
33,103
619,321
172,29
767,394
33,29
1210,33
767,321
33,398
476,398
33,177
33,251
916,255
172,398
913,398
32,546
476,620
475,546
172,251
476,103
476,251
921,29
476,29
476,177
176,476
176,321
922,103
472,321
472,476
917,476
912,103
916,321
921,177
32,325
32,472
