X,Y
1630,2856
1539,2755
1487,2356
1687,2537
1848,1665
1538,2644
1444,2356
1385,2652
1632,2516
1684,3125
1775,2351
1548,2592
1403,2036
1554,2355
1704,2451
1796,2851
1744,2920
1767,2902
1588,2527
1384,2297
1714,2380
1431,2257
1547,2001
1571,3089
1411,3003
1470,2569
1602,3086
1628,2273
1676,2295
1658,2146
1768,2437
1653,2595
1440,2437
1566,2633
1760,2296
1519,2253
1479,2007
1664,2624
1466,2045
1444,2380
1557,2327
1475,1954
1443,2665
1800,1816
1538,2735
1711,2022
1390,2422
1731,2746
1738,2947
1394,2169
1688,2003
1679,2260
1464,1864
1448,1934
1682,1901
1554,3081
1823,2201
1463,1491
1456,2987
1729,2032
1730,1844
1743,2898
1672,3066
1462,1997
1756,1760
1486,2111
1385,1804
1472,1850
1468,2187
1687,2207
1593,1789
1808,3043
1504,1724
1542,2092
1751,2352
1825,2637
1774,2832
1702,2652
1432,3099
1631,3171
1501,1928
1646,2785
1548,3022
1671,1939
1578,3050
1532,3241
1445,2717
1786,2111
1507,1634
1626,1842
1477,1839
1816,1853
1395,1971
1460,2134
1507,3056
1681,2717
1415,2424
1548,1961
1771,2277
1383,2095
1529,2432
1529,3166
1609,1773
1393,1653
1794,1918
1356,3055
1556,1658
1474,2656
1696,1837
1710,2303
1438,2209
1432,2163
1658,1661
1547,1843
1802,2330
1403,1996
1557,2444
1447,2856
1363,2795
1483,2334
1396,1579
1594,3011
1650,1632
1451,1879
1390,2495
1772,1875
1844,1653
1479,2319
1392,2072
1435,2126
1654,2583
1710,2114
1598,2298
1790,1537
1439,1480
1582,2456
1848,1566
1421,3215
1683,3042
1849,1458
1650,2038
1777,1699
1481,2453
1417,1785
1811,2418
1498,2117
1528,2014
1674,2591
1722,2533
1445,2133
1776,2306
1674,1985
1643,1725
1776,1893
1500,2192
1383,2959
1471,2356
1831,2058
1621,2086
1437,2955
1624,1613
1783,2050
1761,3004
1544,2533
1429,2235
1619,1646
1362,3167
1424,1584
1692,1488
1610,1580
1731,1593
1660,3076
1468,1546
1479,1654
1515,1565
1473,1823
1573,1734
1563,2491
1533,1467
1635,2926
1387,1754
1762,2382
1469,1913
1623,1792
1732,1524
1697,1953
1676,2431
1710,2000
1782,1431
1700,1812
1745,2431
1481,2868
1622,1719
1576,1649
1426,1696
1730,2016
1560,2575
1546,2518
1600,1561
1394,2859
1554,1812
1691,2671
784,1105
1753,1986
1497,1739
1835,1839
1773,2399
1514,1496
1532,2088
1700,3052
1674,1611
1479,1769
1623,2324
1638,2150
1497,1766
1610,2229
1503,2576
1638,2560
1617,2829
1571,1452
1567,2165
1767,2329
1820,2714
1457,1480
1429,2054
1512,2311
1607,1754
1437,1579
1682,1657
1397,2007
1575,2542
1408,2698
1826,1464
1402,897
1600,2184
1375,2231
1679,2092
1703,1752
1473,1566
1824,2922
1579,1557
1423,2316
1683,2522
1718,1735
1659,2706
1764,2481
1402,1829
1548,1785
1519,2482
1412,2855
1759,1857
1501,2336
1431,2290
1730,1638
1502,1515
1635,2770
1723,2851
1503,2240
1723,1478
1410,2234
1768,2370
1657,1474
1756,2579
1727,2950
1550,2760
1500,2929
1456,3243
1588,2604
1493,1495
1601,1630
1608,2151
1559,1863
1656,1949
1372,2305
1708,1735
1604,2033
1455,2350
1410,2022
1674,1997
1756,1565
1716,2333
1612,2631
1439,2331
1616,2744
1538,2107
1648,2508
1684,2371
1472,2600
1423,2579
1676,1952
1807,2183
1441,3002
1390,2627
1490,1517
1442,2601
712,3340
1393,2109
1558,1726
1656,2722
1779,1817
1623,1571
1787,1976
1424,1673
1828,1631
1647,1600
1381,3084
1543,1458
1403,1655
1766,1747
1883,922
1713,2498
1487,1990
1377,2216
1564,1499
3229,544
1483,2025
1681,1587
1469,1632
1611,2532
1429,1839
1763,3126
1819,1902
1794,2781
1450,1690
1496,2367
1486,1971
1551,1538
1561,2827
1662,2491
1754,1702
1384,2525
1510,2031
1647,2219
1528,3199
1484,1893
1560,2965
1848,3960
1771,1675
1433,2359
2598,1556
1471,1605
1385,2738
1346,3242
1398,1960
1376,2166
1583,1586
1363,3155
1435,2739
1836,1448
1047,3503
1622,1908
1506,1695
1641,2820
1506,1783
1797,1960
1479,2372
1728,2182
1558,1527
1612,2172
1374,2519
1417,2867
1515,2086
1833,2205
1435,2750
1649,1897
1610,2325
1625,1561
1474,3040
1664,1821
1415,1930
1526,1996
1589,3212
1430,1450
1453,2816
1471,2291
1757,1778
1404,2209
1571,2644
1551,2196
1684,3179
1548,2622
1556,1582
1673,2982
1430,1726
1651,2272
1574,2083
1807,1928
1643,3230
1522,2197
1420,2229
1810,1965
1634,2261
1722,2487
1802,1481
1480,2185
1465,1840
1622,2358
1684,2452
1465,1461
1503,2059
1781,3149
1508,1705
1367,2321
1466,1781
1489,1759
1374,2176
1799,1941
1698,2913
1582,2595
780,3739
1371,2243
1541,2157
1429,1740
1831,1850
1448,1825
1677,1827
1799,1992
1727,1660
3442,907
1463,2074
1707,2145
1688,1572
1376,2082
1430,1911
1544,2482
1661,3224
1773,2456
1442,1524
3418,1469
1868,124
1760,3176
1738,2293
1824,2213
1504,1462
1656,1516
1831,2289
1448,2088
1675,1714
1784,2168
1687,1512
1631,2084
2944,2024
1488,1617
1507,2201
1788,1775
1526,1862
1403,1726
1566,1670
1496,1699
1385,1880
1803,2433
1687,1472
1655,1840
1751,1532
1407,1767
1510,3243
3431,804
1654,2091
1701,3206
1633,1456
1486,2398
1790,1563
1422,2415
1542,1487
1681,1496
1408,2554
1401,1897
1450,1905
1443,2845
1608,1652
1755,2962
1768,1644
1680,1566
1707,936
2786,3737
1612,1842
1754,2910
1723,2562
1500,1527
1527,1543
2161,1811
1811,2843
1378,2134
1626,1467
1409,2771
2912,4333
1764,2821
1699,2480
1797,1552
1683,1884
1746,2103
1571,2038
1720,1628
1506,1609
1755,2373
1788,2295
1786,1619
1584,2157
1880,41
1588,1659
1577,2438
1418,2701
1458,2196
2051,3578
1368,3045
1435,3256
1431,1604
1548,2206
1450,1852
2018,4082
1439,1849
1547,1693
1727,2651
1635,1804
1485,1948
1411,2473
1657,1803
1764,3267
2551,3945
1818,3256
1403,1922
1780,2968
1379,882
3188,3390
1773,2151
1728,2907
1460,1665
2661,1838
1384,2158
1814,1581
1809,3261
1430,1954
1415,2381
1659,2862
2368,4429
1711,1638
1378,2533
1698,1728
1391,1477
1638,1814
1395,3166
1553,1466
1454,1639
1751,2612
1785,1850
1645,1528
1742,3219
1710,2175
1537,1996
1517,1769
1527,1520
1571,3278
1703,2015
1951,2570
1552,2902
1367,2209
1814,2325
1600,2239
1683,1784
1435,3166
1747,2602
1611,2399
1734,2582
1637,2608
1527,2374
1693,2987
1389,2973
1779,1606
1407,2436
1371,2145
1696,2997
1368,2253
1671,2014
1428,2272
1779,939
1547,2329
1570,3262
1599,2909
1746,2967
3345,611
1674,1478
3388,840
1340,2974
3346,807
2727,2272
1370,2581
1758,3256
1700,1615
1711,2058
1947,4133
1598,1655
1384,2486
1579,1688
1732,1878
1771,2791
1571,2315
1387,902
1708,2918
1743,430
2794,4313
1831,1782
1746,205
1720,1992
1740,1574
1727,2573
1805,2320
1355,2636
1886,4297
1575,1593
3180,380
1553,1492
1696,1764
1429,2551
1441,1616
1419,2450
1741,1991
1744,1662
1418,2543
1417,2483
1770,1618
3380,848
1723,2806
1709,2195
1682,1733
1754,3168
1761,1520
1384,1720
2805,3669
1731,1970
1385,1499
1899,3939
2750,4027
1603,1542
1657,3178
2574,3979
1346,2941
1426,2726
1719,2934
1656,2989
1491,2136
3435,668
2552,3347
3246,200
2375,2793
1460,1712
1667,1789
1701,2469
1690,1924
1834,1794
1432,1496
3012,4306
3164,4002
1471,1810
1759,2204
1462,2775
2383,4080
1351,2658
1403,2780
794,1817
1618,2376
1787,2960
1631,2683
1516,2716
3328,3724
1641,1795
1655,2364
1588,1453
1926,75
1362,2343
3438,866
1740,1607
1603,2898
1608,1516
932,2108
1685,1710
1381,1933
1415,896
778,4227
2123,1543
1548,2371
2945,2991
1384,1768
1760,1627
1761,1659
3049,3773
1404,2754
1408,258
1807,2925
1487,1872
1495,2772
1505,1950
1626,1522
442,1529
1535,2870
1804,2696
1724,1724
1370,2966
1627,1512
691,4288
1399,2834
1801,2905
1646,145
884,238
1463,2426
1408,1884
1754,434
1607,2363
1622,2463
1455,3024
1796,3140
1426,2080
1822,2910
1634,3294
1432,2495
1360,2429
1380,2107
1811,2833
1414,136
1660,2243
2749,3892
1626,1541
1594,2892
1595,2444
3161,895
1495,2525
1361,2959
1602,1524
3340,3204
1378,3939
1395,2129
1931,50
1687,1934
2521,3269
1841,1852
1664,2226
1563,2918
1894,3673
1689,2837
1535,2998
