X,Y
189,657
222,639
180,673
150,987
195,615
196,671
174,728
206,601
208,627
219,615
135,762
196,760
191,639
123,642
134,943
197,989
179,702
162,702
206,652
205,710
166,615
206,904
83,669
196,790
93,630
209,745
221,1001
116,856
90,785
167,643
176,784
191,723
108,822
136,853
62,828
181,1006
94,760
208,557
44,943
108,790
207,865
166,1018
142,506
161,681
122,546
165,880
107,671
209,840
31,716
223,699
211,810
59,981
165,900
210,966
137,630
95,591
163,666
92,653
134,820
135,679
65,765
167,818
177,557
54,523
152,750
95,686
194,812
87,858
131,872
183,837
208,685
88,835
218,587
178,626
136,1018
152,651
123,721
76,1032
79,592
193,588
221,876
77,755
139,599
51,640
31,809
35,864
211,1016
65,562
54,460
30,772
163,583
178,584
116,1001
180,869
123,696
225,759
109,627
153,783
134,740
81,563
51,737
61,868
90,714
152,858
63,656
107,725
153,462
226,819
107,843
36,670
167,977
151,518
44,993
6,838
180,755
136,975
91,739
163,842
131,1002
97,574
63,809
77,698
44,489
219,671
109,703
134,653
123,668
103,872
193,878
207,532
103,1019
223,958
222,723
22,790
134,786
121,600
76,977
47,795
77,626
63,1022
14,903
151,718
44,820
209,768
39,539
208,516
167,941
143,479
110,562
138,703
191,743
101,525
147,834
107,906
3,773
42,977
116,521
51,588
61,719
59,887
152,765
161,1002
13,999
177,914
30,897
148,879
38,563
126,499
103,980
137,1034
91,920
87,306
122,776
192,919
32,930
94,885
94,614
59,948
88,802
76,173
23,568
108,647
117,756
121,887
84,488
75,999
64,690
47,756
221,570
25,642
61,930
150,621
66,600
177,806
178,604
85,538
124,911
127,563
37,692
152,734
226,842
225,915
39,651
32,959
210,887
32,742
125,584
138,536
70,498
29,399
34,617
18,851
155,604
78,821
149,564
83,463
78,900
63,749
5,643
56,328
142,904
45,845
12,1054
27,371
106,602
24,548
129,262
45,1044
22,702
25,500
121,930
10,625
121,973
179,1029
9,932
180,887
181,480
197,545
92,946
79,727
167,545
16,304
107,1054
4,809
165,797
163,961
225,986
5,686
110,586
12,965
221,787
74,846
109,538
4,714
52,508
49,678
22,212
36,596
19,664
77,885
26,988
15,875
102,369
207,728
209,397
46,915
58,298
192,962
1,918
55,545
191,904
6,595
128,477
32,1020
151,417
22,453
29,829
99,401
27,476
124,619
211,262
210,1067
208,939
18,762
82,641
73,315
190,937
96,504
185,532
7,742
152,818
47,234
30,315
177,853
223,931
155,922
3,860
18,6
76,942
19,240
17,342
127,442
3,1035
83,437
17,280
92,1035
195,696
115,1031
103,428
2,790
52,118
58,475
101,446
23,162
74,790
68,400
116,946
87,384
152,943
25,945
110,476
47,189
30,289
80,770
13,432
207,493
66,581
49,704
60,963
29,331
183,462
45,1073
75,1057
197,420
44,879
37,216
44,400
45,288
20,679
154,533
60,385
44,370
130,400
128,341
84,962
177,1049
9,382
62,257
1,885
73,224
171,492
152,366
26,415
227,1019
3,947
225,1049
72,331
68,447
3,985
61,432
44,263
91,240
222,504
16,1090
135,804
46,431
52,573
61,213
173,392
68,533
179,508
101,343
152,548
33,247
172,288
56,358
168,745
212,472
32,184
45,339
78,1073
96,552
83,519
24,585
64,187
130,1067
52,610
105,1083
129,289
70,916
194,1030
74,269
110,461
223,531
89,206
98,31
20,517
92,175
115,309
11,534
45,310
40,136
95,476
129,237
213,446
34,200
