Ponto A, Ponto B, Distância
1,2,332.7281172368816
1,3,330.04393646907073
1,4,295.006779583114
1,5,297.00673393039426
1,6,329.59672328468315
1,7,148.0135128966271
1,8,147.0
1,9,590.0
1,10,608.2795410006817
1,11,295.0
1,12,332.7281172368816
1,13,417.19300090006305
1,14,416.4864943788694
1,15,294.0
1,16,607.3096409575596
1,17,418.6167698504206
1,18,417.9007059099087
1,19,590.0
1,20,660.9818454390407
1,21,608.0370054527931
1,22,660.9818454390407
1,23,608.0370054527931
1,24,660.5346319459715
1,25,660.5346319459715
2,3,593.0
2,4,610.7086048190249
2,5,146.00342461736986
2,6,662.3246937869673
2,7,296.0
2,8,419.31968711235106
2,9,327.365239449762
2,10,292.0
2,11,332.2845166419886
2,12,296.0
2,13,610.9484429966247
2,14,739.6032720317021
2,15,533.0741036666478
2,16,887.0
2,17,442.0
2,18,147.0136048126159
2,19,900.2488544841365
2,20,328.25752085824325
2,21,415.07710127155894
2,22,901.2352634024037
2,23,935.7184405578422
2,24,993.2623017108824
2,25,531.1289862170959
3,4,146.0
3,5,609.7376485013862
3,6,295.0
3,7,297.0
3,8,417.19300090006305
3,9,897.2898082559502
3,10,885.0
3,11,329.59672328468315
3,12,662.7706994127003
3,13,147.0
3,14,442.0
3,15,531.4028603611388
3,16,294.0
3,17,739.6032720317021
3,18,609.0073891177348
3,19,330.04393646907073
3,20,898.2761268117949
3,21,932.8719097496719
3,22,330.9380606699689
3,23,417.19300090006305
3,24,532.7898272302128
3,25,990.5781140324068
4,5,592.0
4,6,149.0
4,7,330.94561486745823
4,8,330.4935702854142
4,9,885.0022598841203
4,10,896.9620950742567
4,11,415.7811924558397
4,12,611.6772024524047
4,13,293.0
4,14,296.0
4,15,417.9007059099087
4,16,328.25599766036265
4,17,662.7706994127003
4,18,659.6438432972751
4,19,295.006779583114
4,20,933.5052222671279
4,21,897.4552913655365
4,22,417.1953978653168
4,23,330.4935702854142
4,24,419.3149174546501
4,25,934.4543862597039
5,6,610.4629390880334
5,7,329.1519405988669
5,8,332.28000240760804
5,9,293.0068258590574
5,10,327.3606573795941
5,11,417.20258867845007
5,12,150.00333329629711
