Ponto A, Ponto B, Distância
1,2,591.0
1,3,295.0
1,4,660.5346319459715
1,5,591.0
1,6,1182.0
1,7,1218.2565411275245
1,8,835.8002153624992
1,9,1316.5975087322624
2,3,660.5346319459715
2,4,295.0
2,5,835.8002153624992
2,6,591.0
2,7,660.5346319459715
2,8,591.0
2,9,831.5623849116794
3,4,591.0
3,5,296.0
3,6,1218.2565411275245
3,7,1182.0
3,8,660.9818454390407
3,9,1213.405950207926
4,5,660.9818454390407
4,6,660.5346319459715
4,7,591.0
4,8,296.0
4,9,656.0647833865189
5,6,1321.5161747023758
5,7,1218.4990767333393
5,8,591.0
5,9,1177.0004248087594
6,7,295.0
6,8,835.8002153624992
6,9,590.0211860602973
7,8,660.9818454390407
7,9,295.0423698386386
8,9,586.0008532416996
