Ponto A,Ponto B,Distância
1,2,830.8652116920048
1,3,662.3307330933693
1,4,591.0008460230831
1,5,660.0886304126136
1,6,835.0934079490748
1,7,737.8732953563234
1,8,540.5598949237725
1,9,451.00110864608746
1,10,538.3651177407393
1,11,742.631133201403
1,12,657.9247677356432
1,13,424.98588211845345
1,14,303.00165016052307
1,15,422.19071519871204
1,16,663.2563606932089
1,17,604.4766331298506
1,18,335.47727195743084
1,19,156.00320509528
1,20,332.8242779606079
1,21,610.2753476915154
1,22,584.0547919502073
1,23,296.10808837314795
1,24,294.10882339705483
1,25,590.0542347954126
1,26,774.4966107091755
