Ponto A,Ponto B,Distância
1,2,241.2819926973416
1,3,657.0372896571396
1,4,665.72216426975
1,5,472.42565552687756
1,6,1010.0242571344512
1,7,389.2351474366106
1,8,205.10485123467947
1,9,259.0
1,10,517.3248495867949
1,11,1051.7190689533018
1,12,907.8683825313007
1,13,551.6130890397725
1,14,638.9194002376199
1,15,444.07206622349037
1,16,1108.472823302403
1,17,703.2503110557435
1,18,1087.5150573670232
1,19,119.26860441876563
1,20,368.41552627434146
1,21,1229.8455187542866
1,22,1172.17959374833
1,23,1106.652610352499
1,24,1044.0981754605264
1,25,983.8114656782569
1,26,922.8000866926704
1,27,863.9936342358085
1,28,809.330587584579
1,29,756.4000264410361
1,30,708.7171509142416
1,31,664.5336710807061
1,32,627.6471938916002
1,33,596.0838867139423
1,34,573.9477328119696
1,35,558.6591089385369
1,36,554.0577587219585
1,37,559.1886980259884
1,38,1216.62648335469
1,39,1158.302637482968
1,40,1091.9432219671496
1,41,1028.494530855658
1,42,967.2357520273948
1,43,898.5966837241277
1,44,845.071002934073
1,45,789.0982194885501
1,46,734.7115080084155
1,47,685.5216991459862
1,48,597.448742571277
1,49,568.3097746827868
1,50,545.0467869825488
1,51,528.9234349128426
1,52,524.0
1,53,529.4827664806476
1,54,1201.1548609567378
1,55,1142.0411551253308
1,56,1074.6780913371222
1,57,1010.145534069225
1,58,947.7014297762771
1,59,884.2019000205779
1,60,822.6408693956313
1,61,765.028757629411
1,62,708.7975733592773
1,63,657.6724108551308
1,64,609.8016070821723
1,65,569.3803649582588
1,66,534.3865642023571
1,67,509.5772757884716
1,68,492.2936115774813
1,69,487.0
1,70,485.9794234327211
1,71,1187.0151641828338
1,72,1127.1601483374047
1,73,993.290491246141
1,74,929.7150100971803
1,75,864.8959474988884
1,76,801.8541014424009
1,77,742.631133201403
1,78,684.5626340956684
1,79,631.4784240177966
1,80,581.455071351175
1,81,538.9118666349814
1,82,501.7977680301099
1,83,475.2904375221534
1,84,456.71106840101874
1,85,457.3587213555679
1,86,1173.4564329364769
1,87,1106.3778739653103
1,88,1043.6282863165409
1,89,977.047081772419
1,90,846.1914676951073
1,91,781.642501403295
1,92,720.7607092509968
1,93,660.7730321373596
1,94,605.6071333793881
1,95,553.2494916400738
1,96,508.3512565146269
1,97,468.8240608159952
1,98,440.33623516581054
1,99,420.21423107743504
1,100,414.0
1,101,420.918044279406
1,102,1160.5946751558013
1,103,1099.3020513034623
1,104,1029.1452764308838
1,105,961.5617504871957
1,106,894.8295927158422
1,107,828.2632431781577
1,108,762.1974809719592
1,109,699.6256141680349
1,110,637.6527268035478
1,111,580.2930294256514
1,112,525.4188805134432
1,113,435.63287295611656
1,114,404.8160075886328
1,115,382.83155564817275
1,116,376.0
1,117,383.60396244043153
1,118,1149.4363836246007
1,119,948.0638164174393
1,120,880.3090366456544
1,121,812.5539982056578
1,122,745.0966380275783
1,123,680.9552114493288
1,124,617.1102008555685
1,125,500.2889165272403
1,126,450.1388674620311
1,127,404.96913462633177
1,128,371.6180835212409
1,129,347.5399257639329
1,130,340.0
1,131,348.3905854066668
1,132,1139.0403855877983
1,133,1076.521249209694
1,134,1004.7750992137494
1,135,935.4325202813936
1,136,866.6908329964036
1,137,797.7800448745255
1,138,728.9567888427955
1,139,597.5232213060845
1,140,535.8852489106226
1,141,475.9180601742279
1,142,422.8876919466917
1,143,374.44492251865296
1,144,338.0961401731762
1,145,311.4369920224635
1,146,303.0
1,147,312.385979198811
1,148,1129.7610366798813
1,149,1066.6981766179222
1,150,994.2434309564233
1,151,924.1109240778403
1,152,854.4588931013592
1,153,784.4743462982075
1,154,647.1908528401804
1,155,579.6386805588461
1,156,515.8682002217233
1,157,453.2604108015612
1,158,397.2165656162895
1,159,345.18980286213554
1,160,305.3784537258646
1,161,275.5721321178903
1,162,276.64417579265967
1,163,1121.6260517659173
1,164,1058.0784469971968
1,165,984.9898476634163
1,166,914.1476904745754
1,167,843.6735150518831
1,168,772.712753874297
1,169,700.4891148333427
1,170,632.8830855695229
1,171,563.6186654112868
1,172,497.80016070708535
1,173,432.5852517134628
1,174,317.55471969410246
1,175,273.7535387899123
1,176,240.05207768315609
1,177,229.0
1,178,1114.660486426248
1,179,1050.691676944288
1,180,977.0506639883113
1,181,905.5876545094903
1,182,833.4176623998318
1,183,762.5667183925614
1,184,689.2807845863687
1,185,620.4546719946591
1,186,549.626236637226
1,187,481.9004046480974
1,188,414.18957012459884
1,189,351.9786925369205
1,190,292.0
1,191,243.64728605096343
1,192,205.05608988762074
1,193,192.0
1,194,206.49455198624491
1,195,1108.886378309338
1,196,1044.5640238874782
1,197,970.4581392311571
1,198,898.4709232913439
1,199,825.6791144264217
1,200,754.1014520606627
1,201,679.9036696473994
1,202,610.0204914590985
1,203,537.8196723809942
1,204,468.38979493579916
1,205,333.24165405903267
1,206,269.1189328159578
1,207,170.90640713560157
1,208,155.0
1,209,172.62966141425406
1,210,1104.4297170938494
1,211,1039.831717154271
1,212,965.3626261669757
1,213,892.964724947184
1,214,819.6840854865977
1,215,747.5326079844276
1,216,601.8812175172108
1,217,528.569768337161
1,218,457.73900860643283
1,219,385.8108344772085
1,220,318.09746933919484
1,221,250.12197024651792
1,222,191.47062437878037
1,223,139.08630414242805
1,224,141.19844191774922
1,225,1036.2494873340106
1,226,961.5029901149554
1,227,888.7907515270397
1,228,815.1349581511028
1,229,742.5415813272682
1,230,667.0592177610621
1,231,595.6710501610768
1,232,521.4872961060508
1,233,449.541989140058
1,234,376.0491989088662
1,235,306.18458485038076
1,236,234.78500803926983
