Ponto A,Ponto B,Distância
1,2,230.0
1,3,486.59325930390776
1,4,591.0304560680439
1,5,853.9022192265342
1,6,547.9726270535783
1,7,542.3218601531751
1,8,82.29823813423954
1,9,675.6581976117807
1,10,599.2478619069075
1,11,396.46689647434624
1,12,466.12659224721347
1,13,536.6796064692602
1,14,608.2902267832354
1,15,950.1663012336314
1,16,303.4419219554213
1,17,222.10357943986403
1,18,381.02099679676445
1,19,410.13168616921075
1,20,338.64730915806786
1,21,651.5957335649152
1,22,787.0273184585145
1,23,738.0027100221245
1,24,146.05478424207814
1,25,462.957881453594
1,26,633.678940789419
1,27,661.9101147436863
1,28,672.1673898665421
1,29,89.20201791439474
1,30,460.440006949874
1,31,837.2335397008412
1,32,740.6227109669268
1,33,158.15498727514097
1,34,407.29350596345137
1,35,457.05360735913683
1,36,380.06446821559103
1,37,294.0272096252318
1,38,798.5211330954241
1,39,795.5784059412372
1,40,601.1830004249954
1,41,147.2175261305528
1,42,291.10994486619654
1,43,406.4886222269942
1,44,631.4499188375908
1,45,152.21038072352357
1,46,439.072886887815
1,47,74.10802925459562
1,48,446.5926555598513
1,49,174.4706279005151
1,50,165.71059109181888
1,51,446.5926555598513
1,52,377.2280477377047
1,53,272.4261367783936
1,54,271.3595400939499
1,55,371.7041834577599
1,56,502.70170081271857
1,57,630.4514255674262
1,58,329.607342151233
1,59,469.9382938216463
1,60,369.02167957994016
1,61,573.4823449767221
1,62,530.0283011311755
1,63,468.35136382848293
1,64,623.6745946405064
1,65,735.4032907187728
1,66,593.2705959340982
1,67,517.0154736562533
1,68,538.8812485139931
1,69,678.2403703702693
1,70,894.7720380074469
1,71,329.19295253695816
1,72,444.0
1,73,533.0675379349225
1,74,471.2218161333365
1,75,374.60646016853474
1,76,862.8122623143461
1,77,545.6198310178984
1,78,616.283214115069
1,79,408.3442175420144
1,80,444.00450448165503
1,81,598.4688797255877
1,82,420.0309512405008
1,83,426.3906659391127
1,84,304.0148022712052
1,85,667.2720584589167
1,86,658.7579221535025
1,87,592.0135133592813
1,88,666.8208155119335
1,89,295.0016949103852
1,90,581.4163740384338
1,91,151.21177202850313
1,92,590.0542347954126
1,93,304.13977050034083
1,94,741.7007482805986
1,95,752.6938288573914
1,96,327.84447532328494
1,97,215.67800073257357
