Ponto A, Ponto B, Distância
1,2,295.0
1,3,294.0
1,4,590.0
1,5,590.0
1,6,660.9818454390407
1,7,660.5346319459715
1,8,659.6400533624379
1,9,660.0878729381415
2,3,589.0
2,4,659.6400533624379
2,5,659.6400533624379
2,6,591.0008460230831
2,7,835.0934079490748
2,8,834.3860018001261
2,9,590.0008474570185
3,4,659.1934465693663
3,5,659.1934465693663
3,6,835.0934079490748
3,7,591.0008460230831
3,8,590.0008474570185
3,9,834.3860018001261
4,5,1180.0
4,6,296.00168918436935
4,7,295.0016949103852
4,8,1216.3161595572099
4,9,1216.5590820013633
5,6,1217.529055094785
5,7,1217.2863262191029
5,8,295.0
5,9,296.0
6,7,591.0
6,8,1320.6218232332828
6,9,1181.0
7,8,1181.0
7,9,1320.6218232332828
8,9,591.0
