Ponto A,Ponto B,Distância
1,2,380.87530767956065
1,3,609.6359569447983
1,4,582.8353112157841
1,5,720.3998889505745
1,6,741.1106530066884
1,7,737.4360989265443
1,8,837.2574275573792
1,9,994.7487119871028
1,10,1084.5704218721808
1,11,1097.7249200050073
1,12,1135.3382755813352
1,13,1276.4677825938263
1,14,1287.1091639794972
1,15,725.5397990461998
1,16,461.45530661159376
1,17,313.6909306945293
1,18,126.0634760745554
1,19,154.84508387417407
1,20,118.86967653695369
1,21,533.625336729807
1,22,577.1325670935578
1,23,669.716357871002
1,24,754.1312883046294
1,25,817.1621626091115
1,26,881.769244190338
1,27,983.2293730356106
1,28,1350.7645982923893
1,29,870.0649401050475
1,30,823.2405480781422
1,31,579.382429833698
1,32,619.0290784769323
1,33,573.6427459665118
1,34,482.4147593098702
1,35,432.9353300436452
1,36,355.62058433110985
1,37,351.31894341182345
1,38,208.5976989326584
1,39,133.33041663476493
1,40,150.44268011438774
1,41,172.04650534085255
1,42,23.853720883753127
1,43,202.68448386593386
1,44,199.0226117806718
1,45,145.0
1,46,326.9556544854363
1,47,308.3504499753487
1,48,461.74126954388646
1,49,547.8466938843384
1,50,511.0234828263766
1,51,508.66491917567896
1,52,540.9066462893574
1,53,565.2760387633638
1,54,642.2227028064331
1,55,605.4758459261608
1,56,667.1686443471395
1,57,681.3765478793646
1,58,691.2495931282708
1,59,945.2433549092001
1,60,945.0232801365266
1,61,957.1468016976288
1,62,1122.0111407646539
1,63,1209.661936244999
1,64,1189.0622355453056
1,65,1277.329244948224
1,66,1310.0267172848041
1,67,1342.3177716174364
1,68,1337.8527572195678
1,69,1415.0636028108418
1,70,1419.434394397994
1,71,1443.6845223247356
1,72,1457.931754232687
1,73,632.4634376784163
1,74,275.50136115816196
1,75,375.3531670307312
1,76,843.8939506833782
1,77,329.1519405988669
1,78,390.57905729826325
1,79,691.695019499201
1,80,448.8485267882696
1,81,868.1157756889343
1,82,795.0509417641111
1,83,403.83783874223576
1,84,369.0663896916109
1,85,406.5033825197522
1,86,484.3345950889736
1,87,604.400529450463
1,88,706.9893917167358
1,89,1077.3903656521159
1,90,1332.9741182783707
1,91,622.1133337262593
1,92,579.148512904937
1,93,567.5359019480618
1,94,525.364635277252
1,95,454.64821565689664
1,96,401.6590594023742
1,97,328.81149614938954
1,98,148.4082207965583
1,99,378.1904282236662
1,100,548.7667992872747
1,101,618.2442882874051
1,102,919.0005440694798
1,103,953.2098404863433
1,104,1407.818525236829
1,105,169.95587662684687
1,106,1258.7775816243313
1,107,1448.4795476636873
1,108,1208.0066224984034
1,109,142.6954799564443
1,110,680.0029411701099
1,111,211.96697856034086
1,112,646.4920726505469
1,113,400.2811511925087
1,114,542.2361109332354
1,115,310.39490975207696
1,116,231.7412350014559
1,117,1224.37943465251
1,118,451.16737470699275
1,119,315.40608744918035
1,120,187.97074240423694
1,121,177.67385851610248
1,122,706.0269116683868
1,123,731.6098687141939
1,124,822.8778767229072
1,125,912.7743423212552
1,126,1169.3900119292964
1,127,1351.8006509837167
1,128,194.74342094150447
1,129,285.70264261990997
1,130,434.05644794196985
1,131,683.1405419092033
1,132,172.00290695217916
1,133,179.77764043395385
1,134,141.7603611733548
1,135,877.1100273055827
1,136,396.470679874313
1,137,992.917418519788
1,138,756.3451593022858
1,139,181.33394607739612
1,140,827.3741596158294
1,141,542.4776493091674
1,142,381.064299036265
1,143,698.7259834870891
1,144,767.7532155582287
1,145,824.507731922509
1,146,804.2698552103019
1,147,398.33905156286147
1,148,498.20578077738116
1,149,659.4619018563544
1,150,684.4355338525316
1,151,710.8938036021976
1,152,789.3605006586027
1,153,864.2551706527419
1,154,1390.0003597121836
1,155,1396.498478337875
1,156,650.4898154467909
1,157,589.677878167394
1,158,630.1872737528107
1,159,474.10230963369077
1,160,305.52904935537634
1,161,288.0642289490314
1,162,446.8165171521751
1,163,239.0522955338434
1,164,236.88815926508443
1,165,185.64751546950473
1,166,41.773197148410844
1,167,59.682493245507096
1,168,72.11102550927978
1,169,304.0740041503055
1,170,398.41812207779907
1,171,493.3659899101275
1,172,603.7391820977002
1,173,666.9820087528599
1,174,915.4217607201612
1,175,1220.3724841211392
1,176,1458.9300874270843
1,177,781.4205013947357
1,178,424.04952540947386
1,179,268.5702887513807
1,180,662.6771461277355
1,181,1329.1877218813
1,182,1390.0791344380361
1,183,1436.8482870505152
1,184,661.5534747849186
1,185,397.70969311798274
1,186,731.4314732085296
1,187,92.20086767487604
1,188,284.01584462842914
1,189,604.2391910493724
1,190,417.08032799450035
1,191,125.57467897629681
1,192,315.2427635965654
1,193,729.8876625892508
1,194,478.4610746967824
1,195,281.46047679914136
1,196,47.095647357266465
1,197,1058.2499704701154
1,198,175.56765077883796
1,199,689.5288246331694
1,200,530.5101318542371
1,201,1259.8706282789515
1,202,369.89998648283296
1,203,825.4804661528945
1,204,494.6048928185001
1,205,186.02419197512995
1,206,376.1754909613331
1,207,279.76061195243335
1,208,1034.8937143494495
1,209,1043.6560736181245
1,210,1092.2843036499244
1,211,1136.0316896988393
1,212,1328.6241003383914
1,213,1407.0511717773452
1,214,197.03045449879062
1,215,344.4444802867365
1,216,833.5382414742589
1,217,964.2058908760099
1,218,1186.2516596405671
1,219,742.4122843811247
1,220,155.87815754620658
1,221,358.9233901545008
1,222,249.505510961181
1,223,166.41213898030395
1,224,243.1295950722577
1,225,372.24722967404335
1,226,424.0106130747201
1,227,683.6000292568748
1,228,646.9080305576674
1,229,893.3498754687325
1,230,949.0637491759971
1,231,1016.724643155658
1,232,1209.7822118050835
1,233,838.098442905128
1,234,804.6291071046336
1,235,736.690572764441
1,236,566.6339206224774
1,237,536.2779130264456
1,238,344.30509726113553
1,239,476.94234452394767
1,240,336.7862823809782
1,241,267.4341040331244
1,242,389.1439322410154
1,243,277.8920653779089
1,244,169.28378540191025
1,245,158.48343762046557
1,246,581.9321266264649
1,247,884.644561391749
1,248,1386.6683092938988
1,249,438.5635643780728
1,250,381.4315141673535
1,251,186.11824198610947
1,252,244.63850882475555
1,253,133.25539388707685
1,254,152.81688388394784
1,255,892.7183206364704
1,256,246.3331078032346
1,257,112.40106761058811
1,258,415.92427195344106
1,259,284.67525357852935
1,260,169.81460479004744
1,261,236.25621684941964
1,262,545.8094905734051
1,263,817.5402130782314
1,264,1165.2991032348734
1,265,1389.4603268895446
1,266,332.8798582071315
1,267,99.76472322419383
1,268,64.07807737440318
1,269,330.9274845037807
1,270,217.16583525039107
1,271,311.7130090323469
1,272,507.0512794580051
1,273,653.2763580598948
1,274,1125.327507883816
1,275,1289.1834625064037
1,276,721.5552646887139
1,277,743.85818540902
1,278,627.7618975375934
1,279,71.06335201775947
1,280,816.0153184836666
1,281,778.4812136461611
1,282,582.3787427439295
1,283,773.6827515202856
1,284,525.4188805134432
1,285,168.5734261382855
1,286,162.24980739587951
1,287,446.2790606784056
1,288,737.9871272590058
1,289,778.869051895118
1,290,836.3665464376251
1,291,912.5968441760031
1,292,935.3314920390525
1,293,1105.5319986323327
1,294,322.88697712976904
1,295,692.0260110718383
1,296,256.46247288833507
1,297,370.5684821999842
1,298,319.2146613174276
1,299,394.9240433298535
1,300,124.66354719804824
1,301,703.1024107482494
1,302,246.0081299469593
1,303,601.9875413993217
1,304,471.08067249676037
1,305,484.48735793620045
1,306,236.32604596192948
1,307,609.4661598481084
1,308,496.05846429629645
1,309,242.62110378118388
1,310,355.0056337581138
1,311,492.09958341782817
1,312,578.1219594514638
1,313,387.82728114458376
1,314,344.80429231667057
1,315,303.7252047492931
1,316,566.7627369543626
1,317,396.2272075463774
1,318,347.4147377415069
1,319,83.81527307120105
1,320,442.51214672594017
1,321,1351.083269084478
1,322,343.86334494970527
1,323,127.58134659894448
1,324,282.57742301889584
1,325,1360.3532629431224
1,326,70.51950084905593
1,327,117.5967686630887
1,328,773.5741722679215
1,329,705.1815369108865
1,330,685.5195110279502
1,331,612.2393322876276
1,332,401.24057621332366
1,333,387.9819583434261
1,334,409.81581228644654
1,335,354.6744986603914
1,336,726.5314858972046
1,337,829.1019237705337
1,338,733.0109139705902
1,339,699.9214241613125
1,340,526.4218840435873
1,341,500.17696868208554
1,342,547.7846292111526
1,343,516.8413683133346
1,344,403.83783874223576
1,345,454.80215478821117
1,346,340.5304685340212
1,347,283.5912551543154
1,348,359.9236030048599
1,349,172.28464818433474
1,350,194.1957775030137
1,351,306.33968074671617
1,352,368.24176840765904
1,353,147.41099009232656
1,354,211.463944917331
1,355,43.174066289845804
1,356,236.1778990506944
1,357,286.14157335137446
1,358,487.45256179447864
1,359,501.3990426795807
1,360,451.83404032896857
1,361,439.7419697959248
1,362,408.67835763592865
1,363,438.51111730490936
1,364,548.1505267716159
1,365,515.7606033810648
1,366,667.4368884021919
1,367,630.8407088956768
1,368,805.2633109734977
1,369,802.0224435762381
1,370,967.4130451880417
1,371,965.205159538634
1,372,997.0847506606447
1,373,1059.0297446247673
1,374,1085.3764323956918
1,375,1131.5392171727854
1,376,1234.4148411291885
1,377,1313.83180049807
1,378,1283.8041127835663
1,379,856.5191182921722
1,380,919.4155752433172
1,381,855.5729074719466
1,382,793.5300876463349
1,383,808.7447063196148
1,384,850.3658036398218
1,385,743.8817110266928
1,386,720.4068295067725
1,387,729.5861840797152
1,388,762.2420875286276
1,389,733.45824693707
1,390,688.5324974175148
1,391,649.1995070854567
1,392,613.3326992750345
1,393,596.8249324550709
1,394,579.5394723398916
1,395,483.5576490967752
1,396,540.0564785279406
1,397,441.77935669290844
1,398,422.0189569201839
1,399,376.7187279655738
1,400,380.78471607983425
1,401,232.22833591101667
1,402,214.46211786700232
1,403,156.01281998605114
1,404,307.2930197710322
1,405,191.68985366993215
1,406,314.91586177898375
1,407,143.19916200872126
1,408,165.92166826548
1,409,225.33752461585266
1,410,187.51533270642165
1,411,74.81310045707235
1,412,305.6435832796102
1,413,196.22436138257655
1,414,188.09572031282372
1,415,208.86598574205422
1,416,211.02843410308478
1,417,228.25424421026653
1,418,358.62096982747676
1,419,268.53118999475646
1,420,284.05985284795173
1,421,390.23198228745935
1,422,340.87241014784405
1,423,324.05555079337864
1,424,456.36498551050124
1,425,432.3343613454753
1,426,415.9627387158614
1,427,483.40976407184826
1,428,463.0010799123475
1,429,459.18623672753955
1,430,493.96761027419603
1,431,491.9441025157228
1,432,529.0463117724194
1,433,634.7479814855657
1,434,549.1101893062994
1,435,606.0775527933698
1,436,611.2160010994477
1,437,722.950897364406
1,438,719.5060805858419
1,439,778.1600092525958
1,440,841.0332930389854
1,441,785.5984979619042
1,442,804.1106888979899
1,443,801.8035919101386
1,444,835.5124176216652
1,445,850.4357706493771
1,446,921.8703813443623
1,447,954.5286795062786
1,448,1038.315944209661
1,449,1061.2238218208258
1,450,1084.1701895920216
1,451,1093.1902853574943
1,452,1125.1368805616496
1,453,1129.7083694476198
1,454,1271.479453235482
1,455,1327.254685431549
1,456,1343.4023969012412
1,457,1359.2884167828402
1,458,1415.2596934838496
1,459,1487.4222668764912
1,460,664.1084248825639
1,461,188.403821617291
1,462,252.60443384865596
1,463,822.9489656108694
1,464,676.3623289332427
1,465,364.01236242743187
1,466,255.9785147234041
1,467,732.7653103142916
1,468,531.6389752454197
1,469,225.63909235768523
1,470,731.2468803352258
1,471,219.9931817125249
1,472,584.5417008221056
1,473,177.2004514666935
1,474,420.38077976996044
1,475,588.0008503395212
1,476,935.8488125760485
1,477,757.1327492586753
1,478,1386.1897417020514
1,479,819.687745425049
1,480,550.3135469893505
1,481,578.5715167548434
1,482,639.4067562983676
1,483,1073.567883275203
1,484,1347.009279849252
1,485,1003.4590175986262
1,486,745.1845409024533
1,487,338.7226003679117
1,488,89.05054744357274
1,489,265.228203628498
1,490,302.33259830855155
1,491,569.6121487468469
1,492,1263.4698255201824
1,493,916.4278476781465
1,494,571.1260806511991
1,495,208.6935552430884
1,496,134.73306943731373
1,497,329.9696955782455
1,498,405.0308630215727
1,499,621.807044025717
1,500,856.9043120442328
